"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Nov 27 15:15:13 CST 2020","Fri Nov 27 15:15:13 CST 2020","50","testcases.cdn.ctyun_console","test_ctyun_overview","Test_Ctyun_Overview","","","test_CDN_246301",""
"passed","Fri Nov 27 15:14:25 CST 2020","Fri Nov 27 15:14:25 CST 2020","401","testcases.cdn.bs_console","test_bs_log_top","Test_Bs_Top","","","test_CDN_251605",""
"failed","Fri Nov 27 15:20:23 CST 2020","Fri Nov 27 15:20:23 CST 2020","117","testcases.cdn.vip_console","test_vip_refresh","Test_Vip_Refresh","","","test_CDN_241650",""
"failed","Fri Nov 27 15:20:29 CST 2020","Fri Nov 27 15:20:29 CST 2020","519","testcases.cdn.vip_console","test_vip_tools","Test_Vip_Tools","","","test_CDN_240674",""
"passed","Fri Nov 27 15:19:04 CST 2020","Fri Nov 27 15:19:06 CST 2020","1602","testcases.cdn.vip_console","test_vip_log_query","Test_Vip_Log_Query","","","test_CDN_265361",""
"passed","Fri Nov 27 15:14:34 CST 2020","Fri Nov 27 15:14:34 CST 2020","561","testcases.cdn.bs_console","test_bs_log_user","Test_BS_Log_dataList","","","test_CDN_243663",""
"failed","Fri Nov 27 15:15:02 CST 2020","Fri Nov 27 15:15:02 CST 2020","257","testcases.cdn.bs_console","test_bs_refresh","Test_Bs_Refresh","","","test_CDN_243742",""
"passed","Fri Nov 27 15:14:49 CST 2020","Fri Nov 27 15:14:49 CST 2020","410","testcases.cdn.bs_console","test_bs_overview","Test_BS_Overview","","","test_CDN_243756",""
"passed","Fri Nov 27 15:16:46 CST 2020","Fri Nov 27 15:16:49 CST 2020","2896","testcases.cdn.v1","test_v1_domain","TestDomain","","","test_CDN_262424[004-服务调用成功]",""
"failed","Fri Nov 27 15:15:01 CST 2020","Fri Nov 27 15:15:02 CST 2020","342","testcases.cdn.bs_console","test_bs_refresh","Test_Bs_Refresh","","","test_CDN_243741",""
"passed","Fri Nov 27 15:13:41 CST 2020","Fri Nov 27 15:13:41 CST 2020","514","testcases.cdn.bs_console","test_bs_log_query","Test_BS_Log_Query","","","test_CDN_243705",""
"passed","Fri Nov 27 15:15:14 CST 2020","Fri Nov 27 15:15:15 CST 2020","553","testcases.cdn.v1","test_v1_case","TestCase","","","test_CDN_241165",""
